title,price,location,mileage,owners,title_status,url,description
"2020 Chevrolet Malibu LT-$9,999(Camden, NJ)","$9,999",,"114,479",,clean,https://philadelphia.craigslist.org/ctd/d/camden-2020-chevrolet-malibu-lt/7919571173.html,"Click here to view on dealer's website
2020 Chevrolet Malibu LT - $9,999
Year:
2020
Make:
Chevrolet
Model:
Malibu
VIN:
1G1ZD5ST5LF093141
Stock #
093141
Mileage:
114,479
Color:
Black
Trim:
LT
Engine:
1.5L L4 DOHC 16V
Trans:
Automatic
Seller's Comments:
Visit Express Auto Sales online at expresscardeals.com to see more pictures of this vehicle or call us at 856-425-5981 today to schedule your test drive.
Vehicle Options:
Child Safety Door Locks
Vehicle Anti-Theft
ABS Brakes
Driver Airbag
Front Side Airbag
Passenger Airbag
Side Head Curtain Airbag
Cruise Control
Telescopic Steering Column
Driver Multi-Adjustable Power Seat
Front Heated Seat
Front Power Lumbar Support
Alloy Wheels
Power Windows
Visit our virtual showroom:
expresscardeals.com
Address:
245 Marlton Avenue Camden, NJ
Schedule your test drive today:
856-425-5981
copy/paste link below for more photos and info.
http://expresscardeals.com/2020-Chevrolet-Malibu/Used-Sedan/Camden-NJ/19906/23617987/Craigslist/Details.aspx
BatchID: C95SUGWZ1H
ID: 23617987"
"2013 Lincoln MKS AWD-$6,999(Camden, NJ)","$6,999",,"102,873",,clean,https://philadelphia.craigslist.org/ctd/d/camden-2013-lincoln-mks-awd/7919571119.html,"Click here to view on dealer's website
2013 Lincoln MKS AWD - $6,999
Year:
2013
Make:
Lincoln
Model:
MKS
VIN:
1LNHL9EK7DG608504
Stock #
608504
Mileage:
102,873
Color:
White
Trim:
AWD
Engine:
3.5L V6 DOHC 24V
Trans:
Automatic
Seller's Comments:
Visit Express Auto Sales online at expresscardeals.com to see more pictures of this vehicle or call us at 856-425-5981 today to schedule your test drive.
Vehicle Options:
Child Safety Door Locks
Power Door Locks
Vehicle Anti-Theft
4WD/AWD
ABS Brakes
Electronic Brake Assistance
Traction Control
Vehicle Stability Control System
Driver Airbag
Front Side Airbag
Passenger Airbag
Side Head Curtain Airbag
Electronic Parking Aid
Trunk Anti-Trap Device
Keyless Entry
Remote Ignition
Air Conditioning
Separate Driver/Front Passenger Climate Controls
Cruise Control
Tachometer
Tilt Steering
Tilt Steering Column
Steering Wheel Mounted Controls
Telescopic Steering Column
Genuine Wood Trim
Tire Pressure Monitor
Trip Computer
AM/FM Radio
CD Player
Subwoofer
Telematics System
Driver Multi-Adjustable Power Seat
Front Cooled Seat
Front Heated Seat
Front Power Lumbar Support
Front Power Memory Seat
Leather Seat
Passenger Multi-Adjustable Power Seat
Cargo Area Tiedowns
Automatic Headlights
Fog Lights
High Intensity Discharge Headlights
Front Air Dam
Alloy Wheels
Power Windows
Electrochromic Exterior Rearview Mirror
Heated Exterior Mirror
Electrochromic Interior Rearview Mirror
Power Adjustable Exterior Mirror
Interval Wipers
Rain Sensing Wipers
Rear Window Defogger
Visit our virtual showroom:
expresscardeals.com
Address:
245 Marlton Avenue Camden, NJ
Schedule your test drive today:
856-425-5981
copy/paste link below for more photos and info.
http://expresscardeals.com/2013-Lincoln-MKS/Used-Sedan/Camden-NJ/19906/23235011/Craigslist/Details.aspx
BatchID: C95SUGWZ1H
ID: 23235011"
"1993 Jaguar XJS Low Miles Nicely Presentable (St# 2759)-$9,950(College Point)","$9,950",,"66,418",,clean,https://newyork.craigslist.org/que/ctd/d/college-point-1993-jaguar-xjs-low-miles/7919570846.html,"Merit Cars presents this 1993 Jaguar XJS Convertible, finished in classic black with a tan interior and showing 66,400 miles believed to be original.
This is a very presentable example that has clearly been well maintained. The paint is in very good condition with only a minor chip, while the interior remains clean and inviting.
The engine starts easily and runs smoothly, delivering the refined driving experience that Jaguar’s XJS grand tourer is known for.
The underside presents clean and tidy. The convertible top is in very good condition and the hydraulic assembly comes with the car.
A modern Bluetooth audio system with hands-free capability has been installed.
Overall this is a very attractive and enjoyable classic Jaguar convertible.
View the complete picture album:
https://www.meritcars.com/1991-jaguar-xjs-2759
Price $9,950
We can make arrangements to ship this car anywhere in the USA and to overseas as well. Please send us an email or call us at 001-347-438-1180."
"2010 Cadillac CTS 3.6L Premium AWD w/Navi-$5,500(Camden, NJ)","$5,500",,"106,077",,clean,https://philadelphia.craigslist.org/ctd/d/camden-2010-cadillac-cts-36l-premium/7919570559.html,"Click here to view on dealer's website
2010 Cadillac CTS 3.6L Premium AWD w/Navi - $5,500
Year:
2010
Make:
Cadillac
Model:
CTS
VIN:
1G6DS5EV1A0109696
Stock #
109696
Mileage:
106,077
Color:
Black
Trim:
3.6L Premium AWD w/Navi
Engine:
3.6L V6 DOHC 24V
Trans:
Automatic
Seller's Comments:
Visit Express Auto Sales online at expresscardeals.com to see more pictures of this vehicle or call us at 856-425-5981 today to schedule your test drive.
Vehicle Options:
Child Safety Door Locks
Power Door Locks
4WD/AWD
ABS Brakes
Electronic Brake Assistance
Limited Slip Differential
Traction Control
Vehicle Stability Control System
Driver Airbag
Front Side Airbag
Passenger Airbag
Side Head Curtain Airbag
Electronic Parking Aid
Trunk Anti-Trap Device
Keyless Entry
Remote Ignition
Air Conditioning
Separate Driver/Front Passenger Climate Controls
Cruise Control
Tachometer
Tilt Steering
Tilt Steering Column
Leather Steering Wheel
Steering Wheel Mounted Controls
Telescopic Steering Column
Genuine Wood Trim
Tire Pressure Monitor
Trip Computer
AM/FM Radio
CD Player
DVD Player
Voice Activated Telephone
Navigation Aid
Subwoofer
Telematics System
Driver Multi-Adjustable Power Seat
Front Cooled Seat
Front Heated Seat
Front Power Lumbar Support
Front Power Memory Seat
Leather Seat
Passenger Multi-Adjustable Power Seat
Cargo Area Tiedowns
Cargo Net
Power Sunroof
Manual Sunroof
Daytime Running Lights
Fog Lights
High Intensity Discharge Headlights
Front Air Dam
Alloy Wheels
Power Windows
Heated Exterior Mirror
Electrochromic Interior Rearview Mirror
Power Adjustable Exterior Mirror
Interval Wipers
Rear Window Defogger
Visit our virtual showroom:
expresscardeals.com
Address:
245 Marlton Avenue Camden, NJ
Schedule your test drive today:
856-425-5981
copy/paste link below for more photos and info.
http://expresscardeals.com/2010-Cadillac-CTS/Used-Sedan/Camden-NJ/19906/23440353/Craigslist/Details.aspx
BatchID: C95SUGWZ1H
ID: 23440353"
"FAST & EASY CREDIT APPROVAL 2010 HYUNDAI ELANTRA AUTOMATIC-$5,950(APPLY ONLINE WWW.JOEYBANK.COM OR MAKE CASH OFFER)","$5,950",,"91,106",,clean,https://hudsonvalley.craigslist.org/ctd/d/highland-fast-easy-credit-approval-2010/7919570501.html,"2010 Hyundai Elantra GLS FWD Sedan!! 2.0L 4Cyl Engine, Like-New Tires All the Way Around, 91K Miles, Very Clean Interior, Great Options with Power Windows, Locks, and Mirrors, AM/FM/SAT/CD, Air Conditioning, Cruise Control, and Keyless Entry!! Stop in and See Today!!
CALL US AT 845-691-5500!! COME MAKE YOUR BEST DEAL ON WHEELS AT UNCLE JOEY'S!! ALL VEHICLES SERVICED AND INSPECTED PRIOR TO DELIVERY!! ASK ABOUT OUR FAST & EASY CREDIT APPROVAL!! IT'S WORTH THE TRIP TO SAVE!!
CARFAX DEALER!! WE ACCEPT VISA, M/C DISCOVER AND AMERICAN EXPRESS!! EXTENDED WARRANTIES AVAILABLE!!
AD CREATED BY AUTOMOTIVE ENHANCEMENT
Information deemed reliable, but not guaranteed. Interested parties should confirm all data before relying on it to make a purchase decision. All prices and specifications are subject to change without notice. Prices may not include additional fees such as government fees and taxes, title and registration fees, finance charges, dealer document preparation fees, processing fees, and emission testing and compliance charges."
"FAST & EASY CREDIT APPROVAL  2013 Subaru Legacy 2.5i Premium AWD Sedan-$7,950(APPLY ONLINE WWW.JOEYBANK.COM OR MAKE CASH OFFER)","$7,950",,"114,554",,clean,https://hudsonvalley.craigslist.org/ctd/d/highland-fast-easy-credit-approval-2013/7919570417.html,"GORGEOUS CAR!! 2013 Subaru Legacy 2.5i Premium AWD Sedan!! 2.4L 4Cyl Engine, 114K Miles, Heated Seats, Power Driver Seat, Power Windows, Locks, and Mirrors, AM/FM/SAT/CD, Air Conditioning, Bluetooth, Cruise Control, Steering Wheel Controls, Optional Paddle Shifters, 17 in Alloy Wheels, and Keyless Entry!! Factory Books and Two Keys Included in Sale!!
CALL US AT 845-691-5500!! COME MAKE YOUR BEST DEAL ON WHEELS AT UNCLE JOEY'S!! ALL VEHICLES SERVICED AND INSPECTED PRIOR TO DELIVERY!! ASK ABOUT OUR FAST AND  EASY CREDIT APPROVAL!! IT'S WORTH THE TRIP TO SAVE!!
CARFAX DEALER!! WE ACCEPT VISA, M/C DISCOVER AND AMERICAN EXPRESS!! EXTENDED WARRANTIES AVAILABLE!!
AD CREATED BY AUTOMOTIVE ENHANCEMENT
Information deemed reliable, but not guaranteed. Interested parties should confirm all data before relying on it to make a purchase decision. All prices and specifications are subject to change without notice. Prices may not include additional fees such as government fees and taxes, title and registration fees, finance charges, dealer document preparation fees, processing fees, and emission testing and compliance charges."
"2013 BMW X3-$5,999","$5,999",,"114,000",,clean,https://newyork.craigslist.org/brk/cto/d/brooklyn-2013-bmw-x3/7919565832.html,"Very good condition, bmw with 114k miles, runs drives, awd, no mechanical issues, loaded has pano roof, heated seats. All weather package. For questions please call or text
show contact info"
"2008 GMC Yukon Denali-$6,500","$6,500",,"109,732",,rebuilt,https://philadelphia.craigslist.org/cto/d/philadelphia-2008-gmc-yukon-denali/7919563276.html,"2008 GMC Yukon Denali fully loaded has all the bells and whistles has 109,132 miles the suv is in great shape has zero issues all maintenance up to date did rotors and pads all the way around 6 months ago tires were also replaced last year any question reach out.
show contact info"
"2012 Lincoln MKT LOW MILES, Runs!-$6,995(NEW Brunswick)","$6,995",,"64,153",,clean,https://cnj.craigslist.org/cto/d/new-brunswick-2012-lincoln-mkt-low/7919561212.html,"2012 Lincoln MKT with low miles
This was owned by a senior citizen and was used very little..
It has been donated by her estate to a not for profit organization.
It is in decent running condition, can has sat for a while but starts right up and runs, will need new brakes.
Please see the photos for details.
The 4 old tires in the back seats will be removed.
Would be a great car for limo TLC..."
"2013 Dodge Dart SXT Sedan-$5,950(New Cumberland)","$5,950",,"64,000",,clean,https://harrisburg.craigslist.org/ctd/d/new-cumberland-2013-dodge-dart-sxt-sedan/7919560622.html,"2013 Dodge Dart SXT Sedan, Auto, 4cyl., 2.0, Power Windows/Locks, P/S, P/B, A/C, AM/FM, Backup Camera, Miles- 64,000 ONE-OWNER!
Pete's Bridge Street Motors
219 Bridge Street
New Cumberland, Pa. 17070
Telephone- 717-774-7233"
